,DTP_1,DTS_1,GR_1,MD_1,NPHI_1,RT_1,RHOB_1
455,87.716446,,67.83931,227.52335,,43.661945,2.4059246
456,87.59648,,68.0049,227.99301,,47.864384,2.4400985
457,89.02475,,76.4797,228.51105,,32.061867,2.4325254
458,85.05363,,76.10919,229.01088,,29.777534,2.3894427
459,84.36588,,71.163925,229.51016,,33.4781,2.4157422
460,89.54907,,71.80459,229.97919,,23.398588,2.3765564
461,95.06058,,71.087326,230.50348,,9.132916,2.2900476
462,95.89263,,70.44835,231.02843,,10.057756,2.2881036
463,95.44744,,73.04164,231.49702,,9.9181,2.277398
464,95.40109,,71.44355,232.02055,,9.837834,2.2632337
465,95.04916,,72.08255,232.49094,,13.088216,2.2785923
466,94.863625,,78.42798,233.01453,,19.339045,2.298605
467,95.82622,,77.0619,233.48384,,20.095015,2.2954195
468,97.16725,,70.6072,234.0073,,17.49695,2.3104112
469,97.66697,,68.12732,234.47838,,19.375198,2.318656
470,98.971886,,70.35062,235.00069,,15.241099,2.2547896
471,102.44159,,89.99161,235.4707,,12.395013,2.2435844
472,107.92531,,117.854034,235.99402,,16.672234,2.3160446
473,107.69801,,118.785324,236.51749,,20.067385,2.3670607
474,105.70252,,109.797104,236.98682,,21.608229,2.3365653
475,103.085785,,107.746765,237.51036,,19.6091,2.304856
476,99.15493,,107.6563,237.98076,,13.316632,2.390061
477,99.23844,,106.03943,238.50432,,11.719686,2.4426322
478,103.48561,,104.33658,238.97299,,16.172543,2.391817
479,104.742485,,106.33963,239.49783,,14.718467,2.3495128
480,101.22525,,108.76651,240.0222,,9.354257,2.386428
481,100.78716,,108.10742,240.49117,,10.564557,2.3480847
482,103.65487,,114.05902,241.01465,,12.88385,2.2659585
483,106.64536,,117.60425,241.48529,,12.85875,2.2964451
484,104.579506,,110.21355,242.00835,,10.781815,2.3629754
485,103.9161,,106.78705,242.478,,9.660344,2.334096
486,108.18146,,110.986626,243.00137,,11.94435,2.28518
487,109.82587,,116.81846,243.52473,,12.042158,2.2889068
488,109.83892,,118.522804,243.9945,,8.687971,2.298862
489,109.72903,,112.01067,244.5173,,8.2775,2.3478642
490,108.7674,,106.874146,244.98811,,10.394116,2.3502235
491,108.67793,,106.54291,245.5116,,9.253914,2.3742275
492,107.26819,,106.777565,245.98065,,7.5642715,2.424156
493,103.676094,,97.92038,246.50478,,9.69775,2.3866935
494,102.44451,,84.27706,247.02989,,12.809943,2.3148587
495,102.65083,,86.879196,247.49841,,14.050771,2.3527002
496,103.78633,,89.43544,248.02197,,14.122167,2.3463511
497,107.237495,,92.085236,248.49225,,12.994782,2.2470012
498,109.3513,,107.68483,249.01604,,16.66657,2.2836716
